WARNING 2024-10-14 00:38:45,745 models excute select_network() not exist sensor_network matched topic:ICCMS/Test Location1/Test Location2/Test Device2/Test Device1/Test Sensor1/Register
DEBUG 2024-10-16 15:26:31,003 tasks excute check_plug()
DEBUG 2024-10-16 15:26:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:33,103 tasks excute check_plug()
DEBUG 2024-10-16 15:26:33,103 tasks excute check_plug()
DEBUG 2024-10-16 15:26:34,055 tasks excute check_plug()
DEBUG 2024-10-16 15:26:34,055 tasks excute check_plug()
DEBUG 2024-10-16 15:26:35,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:35,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:36,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:36,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:38,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:39,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:39,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:40,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:40,003 tasks excute check_plug()
DEBUG 2024-10-16 15:26:41,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:41,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:42,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:42,003 tasks excute check_plug()
DEBUG 2024-10-16 15:26:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:44,000 tasks excute check_plug()
DEBUG 2024-10-16 15:26:44,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:45,001 tasks excute check_plug()
DEBUG 2024-10-16 15:26:45,002 tasks excute check_plug()
DEBUG 2024-10-16 15:26:46,008 tasks excute check_plug()
DEBUG 2024-10-16 15:26:46,008 tasks excute check_plug()
DEBUG 2024-10-16 15:26:47,003 tasks excute check_plug()
